input_cards,prediction_text,directions
"The Fool, The Lovers, The Magician","새로운 시작과 설레는 인연이 곧 다가올 것입니다. 주저하지 말고 자신의 열정을 믿고 행동에 옮기세요. 당신 안의 가능성은 지금 깨어나고 있으며, 사랑과 창조의 힘이 함께합니다.","forward, forward, forward"
"Death, The Tower, The Sun",지금은 큰 변화와 혼란이 예고되는 시기입니다. 하지만 모든 끝은 새로운 시작을 위한 자리를 마련하기 위한 것. 어둠이 지나면 찬란한 빛이 당신을 비출 것입니다.,"forward, forward, forward"
"Justice, The Devil, The Empress","당신은 지금 유혹과 욕망 사이에서 중요한 결정을 내려야 할 순간에 있습니다. 내면의 균형을 되찾고 진실에 집중한다면, 결과는 풍요로움과 성장을 동반하게 될 것입니다.","forward, forward, forward"
"The Chariot, Strength, The High Priestess",지금의 상황은 당신의 인내심과 내면의 힘을 시험하고 있습니다. 겉으로 보이는 승리보다 중요한 것은 내면의 통찰입니다. 침착하게 본질을 바라본다면 진정한 승리를 얻게 될 것입니다.,"forward, forward, forward"
"The Hermit, The Moon, The Star","혼란스럽고 불확실한 시간 속에서도 조용한 성찰이 필요합니다. 내면의 목소리에 귀 기울이고, 희망의 불씨를 간직하세요. 어두운 터널 끝에서 별처럼 빛나는 깨달음이 기다립니다.","forward, forward, forward"
"The Hanged Man, Death, The World",모든 것을 내려놓고 관점을 바꾸는 시간이 다가오고 있습니다. 고통스러울 수 있으나 이는 성장과 완성으로 가는 과정입니다. 당신은 곧 새로운 세계로 나아가게 될 것입니다.,"forward, forward, forward"
"The Emperor, The Hierophant, Justice","전통과 권위, 그리고 정의가 중요한 키워드가 됩니다. 당신의 결정은 단호하고 책임감 있게 이루어져야 합니다. 올바른 길을 따른다면 신뢰와 명예를 얻게 될 것입니다.","forward, forward, forward"
"The Empress, The Lovers, Temperance","감정의 풍요로움과 관계 속 조화가 중심이 되는 시기입니다. 사랑이 당신의 삶에 큰 영감을 줄 수 있으나, 균형을 잃지 않는 것이 중요합니다. 조율과 이해가 아름다운 결실을 만들어냅니다.","forward, forward, forward"
"The Fool, The Tower, The Moon",충동적인 선택이나 준비되지 않은 도전은 예상치 못한 결과를 가져올 수 있습니다. 감정의 혼란 속에서도 직관을 신뢰하세요. 위기는 곧 진실을 마주할 기회입니다.,"forward, forward, forward"
"Temperance, The Star, The Sun","당신의 조화로운 마음가짐은 주변 사람들에게 긍정적인 영향을 주고 있습니다. 희망과 성실함을 잃지 않는다면, 곧 환한 빛이 당신의 길을 비춰줄 것입니다. 기회는 이미 시작되었습니다.","forward, forward, forward"
"The Star, Judgment, The World","당신은 이제 오래도록 기다려온 희망의 결실을 앞두고 있습니다. 과거의 선택과 행동이 평가받는 시간이 왔고, 그 결과로 인생의 중요한 단계가 마무리되려 합니다. 두려워하지 말고 스스로를 믿고 받아들이세요.","forward, forward, forward"
"The Hierophant, The Moon, The Lovers","혼란스러운 감정의 흐름 속에서 전통이나 신념이 중요한 지침이 될 수 있습니다. 관계에 있어 감춰진 진실이 드러날 수 있으니, 직관을 따르되 깊은 이해와 인내가 필요합니다. 현명한 판단이 더 큰 조화를 이끌 것입니다.","forward, forward, forward"
"The Devil, The Hanged Man, Strength","집착이나 유혹에 얽매여 있었다면, 지금은 그 고리를 끊고 내면의 힘으로 극복해야 할 때입니다. 모든 걸 제자리에 두기 위해서는 인내와 희생이 필요합니다. 그 과정이 당신을 진정으로 강하게 만들 것입니다.","forward, forward, forward"
